Банк;Финансовый рейтинг;Название вклада;Ставка (%);Минимальная сумма вклада (руб);Максимальная сумма вклада (руб);Минимальный срок вклада (дни);Максимальный срок вклада (дни);Возможность пополнения;Возможность расторжения;Частичное снятие;Выплата процентов;Капитализация;Возможность пролонгации;Условия снятия;Условия пополнения;Особые условия;Ссылка
Банк ГПБ (АО);3;Управляй процентом;3.50;1;;30;;возможно;на льготных условиях;возможно;ежемесячно;ежемесячно по выбору клиента;нет данных;;;['при регулярном пополнении счета применяется повышенная ставка: 0,5 пп за пополнение от 15 000 до 74 999,99 рублей', '1 пп за пополнение от 75 000,00 до 149 999,99', '2,5 пп за пополнение свыше от 150 000', 'надбавка к ставке действует при пополнении счета до 10 числа включительно каждого месяца и применяется в месяце, следующем за месяцем пополнения счета', 'счет открывается физическими лицами, у которых нет действующих договоров банковского счета Накопительный счет в Банке ГПБ АО в валюте открываемого счета', 'проценты начисляются ежемесячно на сумму минимального остатка по счету, находящегося на банковском счете на начало операционного дня в соответствующем расчетном периоде'];https://www.banki.ru/products/deposits/deposit/20376/
Банк ГПБ (АО);3;На вершине (с НСЖ);6.50;50000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['вклад принимается от физических лиц в рамках предоставления комплексного продукта, при одновременном выполнении следующих условий: оформление в банке полиса НСЖ одной из страховых компаний  партнеров банка при ставке по вкладу 7 годовых доля в НСЖ составляет 3099,9оплата вкладчиком в тот же день и в том же подразделении банка головном офисе филиале страховой премии в полном объеме по договору НСЖ', 'размер минимальной суммы страховой премии должен быть не менее 50 000 рублей', 'предоставление вкладчиком поручения на получение информации о статусе договора НСЖ действует   не действует  в рамках одного договора НСЖ открывается не более одного вклада'];https://www.banki.ru/products/deposits/deposit/19118/
Банк ГПБ (АО);3;На вершине (с НСЖ);6.50;50000;;367;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['вклад принимается от физических лиц в рамках предоставления комплексного продукта, при одновременном выполнении следующих условий: оформление в банке полиса НСЖ одной из страховых компаний  партнеров банка при ставке по вкладу 7 годовых доля в НСЖ составляет 3099,9оплата вкладчиком в тот же день и в том же подразделении банка головном офисе филиале страховой премии в полном объеме по договору НСЖ', 'размер минимальной суммы страховой премии должен быть не менее 50 000 рублей', 'предоставление вкладчиком поручения на получение информации о статусе договора НСЖ действует   не действует  в рамках одного договора НСЖ открывается не более одного вклада'];https://www.banki.ru/products/deposits/deposit/19118/
Банк ГПБ (АО);3;Перспектива (с ИСЖ);6.30;50000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['вклад принимается от физических лиц в рамках предоставления комплексного продукта, при одновременном выполнении следующих условий: оформление в банке полиса ИСЖ одной из страховых компаний  партнеров банка при ставке по вкладу 6,8 годовых доля в ИСЖ составляет 7599,9 оплата вкладчиком в тот же день и в том же подразделении банка головном офисе филиале страховой премии в полном объеме по договору ИСЖ', 'размер минимальной суммы страховой премии должен быть не менее 50 000 рублей', 'предоставление вкладчиком поручения на получение информации о статусе договора ИСЖ действует не действует  в рамках одного договора ИСЖ открывается не более одного вклада'];https://www.banki.ru/products/deposits/deposit/19116/
Банк ГПБ (АО);3;Перспектива (с ИСЖ);6.30;50000;;367;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['вклад принимается от физических лиц в рамках предоставления комплексного продукта, при одновременном выполнении следующих условий: оформление в банке полиса ИСЖ одной из страховых компаний  партнеров банка при ставке по вкладу 6,8 годовых доля в ИСЖ составляет 7599,9 оплата вкладчиком в тот же день и в том же подразделении банка головном офисе филиале страховой премии в полном объеме по договору ИСЖ', 'размер минимальной суммы страховой премии должен быть не менее 50 000 рублей', 'предоставление вкладчиком поручения на получение информации о статусе договора ИСЖ действует не действует  в рамках одного договора ИСЖ открывается не более одного вклада'];https://www.banki.ru/products/deposits/deposit/19116/
Банк ГПБ (АО);3;Двойной доход;6.10;100000;1000000;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;['оформление в банке заявления о присоединении к договору на ведение индивидуального инвестиционного счета Договор ИИС Газпромбанк  Управление активами оформление вкладчиком в тот же день и в том же подразделении банка перевода денежных средств с банковского текущего счета в стандартные стратегии управления', 'размер суммы перевода денежных средств в стандартные стратегии управления должен быть не менее 100 000 рублей и не более 1 000 000 рублей', 'предоставление вкладчиком поручения на получение информации о статусе Договора ИИС действует не действует'];https://www.banki.ru/products/deposits/deposit/19444/
Банк ГПБ (АО);3;Двойной доход;5.60;100000;1000000;365;;нет;по ставке до востребования;невозможно;в конце срока;нет;возможна;;;['оформление в банке заявления о присоединении к договору на ведение индивидуального инвестиционного счета Договор ИИС Газпромбанк  Управление активами оформление вкладчиком в тот же день и в том же подразделении банка перевода денежных средств с банковского текущего счета в стандартные стратегии управления', 'размер суммы перевода денежных средств в стандартные стратегии управления должен быть не менее 100 000 рублей и не более 1 000 000 рублей', 'предоставление вкладчиком поручения на получение информации о статусе Договора ИИС действует не действует'];https://www.banki.ru/products/deposits/deposit/19444/
Банк ГПБ (АО);3;Инвестиционный доход;6.00;25000;;91;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/7745/
Банк ГПБ (АО);3;Инвестиционный доход;5.70;25000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/7745/
Банк ГПБ (АО);3;Инвестиционный доход;5.20;25000;;367;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/7745/
Банк ГПБ (АО);3;Инвестиционный доход;6.00;1000000;;91;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/7745/
Банк ГПБ (АО);3;Инвестиционный доход;5.80;1000000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/7745/
Банк ГПБ (АО);3;Инвестиционный доход;5.30;1000000;;367;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;;https://www.banki.ru/products/deposits/deposit/7745/
Банк ГПБ (АО);3;На будущее;6.00;500000;;181;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['вклад принимается от физических лиц  граждан РФ при одновременном выполнении следующих условий: наличие действующего договора негосударственного пенсионного обеспечения с Акционерным обществом Негосударственный пенсионный фонд ГАЗФОНД пенсионные накопления   внесение вкладчиком в рамках договора НПО первого пенсионного взноса на свой лицевой счет в НПФ ГАЗФОНД осуществлено посредством оформленного в офисе банка перевода с банковского счета или без открытия банковского счета', 'с даты операции перевода первого пенсионного взноса в НПФ ГАЗФОНД до даты обращения вкладчика для открытия вклада прошло не более 1 года'];https://www.banki.ru/products/deposits/deposit/18267/
Банк ГПБ (АО);3;На будущее;6.00;500000;;367;;нет;по ставке до востребования;невозможно;в конце срока;нет;невозможна;;;['вклад принимается от физических лиц  граждан РФ при одновременном выполнении следующих условий: наличие действующего договора негосударственного пенсионного обеспечения с Акционерным обществом Негосударственный пенсионный фонд ГАЗФОНД пенсионные накопления   внесение вкладчиком в рамках договора НПО первого пенсионного взноса на свой лицевой счет в НПФ ГАЗФОНД осуществлено посредством оформленного в офисе банка перевода с банковского счета или без открытия банковского счета', 'с даты операции перевода первого пенсионного взноса в НПФ ГАЗФОНД до даты обращения вкладчика для открытия вклада прошло не более 1 года'];https://www.banki.ru/products/deposits/deposit/18267/
